naslov,avtor,ocena,stevilo_ocen,want_to_read,prva_izdaja,stevilo_izdaj
The hitchhiker's guide to the galaxy,Douglas Adams,4.548611,144,"1,532",1979,120 
The story of philosophy: the lives and opinions of the greater philosophers from Plato to John Dewey,Will Durant,4.1666665,12,239,1926,110 
A study in scarlet,Arthur Conan Doyle,3.961165,103,399,1887,1444 
Twelve Years a Slave,Solomon Northup,4.4444447,9,184,1853,1029 
The Brothers Karamazov,Фёдор Михайлович Достоевский,4.27451,51,514,1880,311 
Through the looking-glass and what Alice found there,"Lewis Carroll,Lewis Carroll, andLewis Lewis Carroll",3.96,50,431,1865,1378 
The Complete Sherlock Holmes,Arthur Conan Doyle,4.4772725,44,642,1900,119 
A study of history,Arnold J. ToynbeeandD.C Somervell,4.75,4,172,1900,118 
Narrative of the Life of Frederick Douglass,Frederick Douglass,4.4,10,259,1845,1032 
Anna Karenina,Лев Толстой,4.195122,41,857,1876,899 
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.9105692,123,972,1875,359 
"A dictionary of the English Language: in which the words are deduced fromtheir originals, explained in their different meanings and authorized by the names of the writers in whose works theyare found, abstracted from the Folio ed., to which is prefixed a grammar of the English language.",Samuel Johnson,2.5,2,142,1747,104 
Think and Grow Rich,Napoleon HillandJonathan C. Young,4.012024,499,"13,099",1937,287 
The Two Towers: Being the second part of The Lord of the Rings,J.R.R. Tolkien,4.368421,209,740,1954,277 
Bambi: a life in the woods,"Felix Salten,Walt Disney,Benjamin Lacombe,Nicolas Waquet,Christine Palluy,Carine Hinder,Jack Zipes,Weise Kurt,Whittaker Chambers, and2 others",3.8,10,185,1861,128 
The Second World War,Winston S. Churchill,4.1,10,351,1948,122 
American Tragedy,Theodore Dreiser,3.75,8,99,1900,176 
Le Prince Caspian,C.S. Lewis,3.9444444,90,393,1951,146 
The phantom of the opera.,Gaston Leroux,3.892857,28,413,1911,130 
Man's Search for Meaning: an introduction to logotherapy,Viktor E. Frankl,4.2912087,182,"2,319",1946,111 
The Wizard of Oz,L. Frank Baum,3.9646018,113,"1,047",1899,2052 
The Hound of the Baskervilles,Arthur Conan Doyle,3.9387755,49,470,1900,1307 
Of the Imitation of Christ four books,"Thomas à Kempis,Jérôme de Gonnelieu,Richard Challoner,Ronald Arbuthnott Knox,Michael Oakley,Paul M. Bechtel,Joseph N. Tylenda,Elder Mullan,Henri Belleau, and27 others",4.8333335,6,158,1568,394 
Anne of Avonlea,Lucy Maud Montgomery,4.2083335,24,224,1909,813 
Ulysses,James Joyce,3.375,16,507,1920,585 
Pollyanna,"Eleanor Hodgman Porter,Porter,Neil Reed, andLee Giles",3.875,16,147,1912,552 
Importance of Being Earnest,Oscar Wilde,4.0925927,54,275,1893,445 
The Blue Castle,Lucy Maud Montgomery,3.75,20,199,1926,294 
Of mice and men,John Steinbeck,3.954717,265,"1,415",1937,194 
Guess how much I love you,Sam McBratneyandAnita Jeram,4.3287673,73,"1,000",1839,129 
Dal Big Bang ai buchi neri,Stephen Hawking,4.15566,212,"2,023",1988,118 
Harry Potter und die Heiligtümer des Todes,J. K. Rowling,4.2750645,389,"4,367",2007,125 
Rupsje Nooitgenoeg,Eric Carle,3.9789474,95,"1,196",1969,178 
For Whom the Bell Tolls,Ernest Hemingway,3.5,18,554,1940,167 
The problems of philosophy,"Bertrand Russell,Sajad Hussain,Taylor Smith,Graphyo Editions, andJorge Castillo",3.4,5,87,1900,288 
Persuasion,Jane Austen,4.2380953,42,588,1789,1235 
Women In Love,D. H. Lawrence,3.6111112,18,579,1877,553 
Das Schloss: Roman,Franz Kafka,4.5454545,22,392,1926,165 
Murder on the Links,Agatha Christie,3.6875,16,270,1923,261 
How to Win Friends and Influence People,Dale Carnegie,4.218232,362,"10,257",1913,173 
The Adventures of Sherlock Holmes,Arthur Conan Doyle,4.133333,165,"2,393",1892,1132 
L' homme invisible: roman,H. G. Wells,3.8105264,95,"1,487",563 editions,
Anne's House of Dreams,Lucy Maud Montgomery,3.857143,7,103,1917,785 
THE THIRTY NINE STEPS.,John Buchan,3.6153846,13,157,1915,715 
The return of the native,Thomas Hardy,4.0,7,121,1878,205 
Cien Anos De Soledad / 100 Years of Solitude (Neuva Austral Series : Volume 100),Gabriel García Márquez,4.0410957,73,"1,346",1967,203 
Tender is the night,F. Scott Fitzgerald,3.764706,17,275,1933,312 
De la Tierra a la Luna,Jules Verne,3.9047618,21,102,1865,208 
The Picture of Dorian Gray,Oscar Wilde,4.105769,104,"1,284",1890,2986 
Anne of the Island,Lucy Maud Montgomery,3.7857144,14,107,1826,781 
Les fleurs du mal,Charles Baudelaire,4.111111,9,142,1855,362 
The Valley of Fear: A Sherlock Holmes Novel,Arthur Conan Doyle,4.0,21,154,1914,758 
Apologia.: Crito; adiecta sunt Phaedonis cap. 65-67.  Ediderunt C.Fr. Hermann [et] M. Wohlrab.,Πλάτων,4.09375,32,176,1675,232 
Orlando (Vintage Classics),Virginia Woolf,4.25,16,327,1928,316 
Madame Bovary,Gustave Flaubert,3.6666667,45,328,1856,1557 
The Great Gatsby,F. Scott Fitzgerald,3.9608939,179,"2,144",1920,1174 
Ethan Frome,Edith Wharton,3.9444444,36,165,1910,1000 
The Beautiful and Damned,F. Scott Fitzgerald,4.1,10,225,1922,473 
The phoenix and the carpet,Edith Nesbit,3.1,10,162,1903,438 
Phantastes: a faerie romance,George MacDonald,3.8888888,9,217,1850,417 
Kim,Rudyard Kipling,3.6875,16,114,1901,934 
Harry Potter and the Goblet of Fire,J. K. RowlingandJim Kay,4.2916665,312,"3,472",1993,230 
Vanity Fair: a novel without a hero,William Makepeace Thackeray,4.0,5,86,1800,200 
The lost world,Arthur Conan Doyle,3.9166667,36,403,1900,747 
The Sign of Four,Arthur Conan Doyle,4.1044774,67,215,1889,961 
Villette.,Charlotte Brontë,3.25,4,90,1853,518 
The call of the wild,Jack London,3.8550725,69,640,1903,1393 
The man who was Thursday: a nightmare,"Gilbert Keith Chesterton,Jake Kerr,Matt Mikalatos,Harry Plantinga,David Widger,Vincent Verret, andVictor",3.5,24,141,1908,1105 
The legend of Sleepy Hollow: found among the papers of the late Diedrich Knickerbocker,Washington Irving,4.173913,23,166,1820,1017 
Harry Potter and the Chamber of Secrets,J. K. Rowling,4.2045975,435,"4,495",1998,275 
The Return of the King: Being the third part of The Lord of the Rings,J.R.R. Tolkien,4.397959,98,530,1950,271 
The Lord of the Rings,J.R.R. Tolkien,4.5054946,91,"1,865",1954,251 
The Life and Adventures of Santa Claus,L. Frank Baum,4.0,3,89,1902,560 
El Proceso,Franz Kafka,4.1666665,54,485,1925,351 
Cranford,Elizabeth Cleghorn Gaskell,4.0,11,116,1853,473 
"Amistades Peligrosas, Las",Pierre Choderlos de Laclos,3.8333333,12,97,1782,241 
Current law statutes annotated.,Great Britain.,3.2727273,11,196,1691,3456 
Northanger Abbey,Jane Austen,3.8529413,34,272,1818,1011 
To the lighthouse,Virginia Woolf,3.7037036,27,382,1927,521 
The riddle of the sands: a record of secret service,Erskine Childers,3.3333333,3,101,1903,530 
The scarlet pimpernel,"Emmuska Orczy, Baroness Orczy",3.875,16,133,1900,591 
Neunzehnhundertvierundachtzig (6605 230).,George Orwell,4.2873564,348,"5,600",1949,435 
Brave New World,Aldous Huxley,3.9555035,427,"2,179",1932,678 
Wind in the Willows: Faber Children's Classics,"Kenneth Grahame,Michael Hague,John Burningham,David Roberts,Oxford Editor,Guo man,Yang Ma,Ernest H. Shepard,Charles Van Sandwyk, and1 other",4.06,50,497,1908,1346 
"On the origin of species by means of natural selection, or The preservation of favoured races in the struggle for life.",Charles Darwin,4.2916665,24,440,1859,218 
The Secret Adversary,Agatha Christie,3.8275862,29,248,1922,735 
The jungle book,Rudyard Kipling,4.0,31,348,1893,537 
Five children and It,Edith Nesbit,3.6,5,168,1905,950 
Metamorfosis,Franz Kafka,4.109244,119,"2,460",1915,948 
Three men in aboat: to say nothing of the dog!,Jerome Klapka Jerome,3.4,15,158,1889,728 
Krieg und Frieden,Лев Толстой,4.4444447,27,558,1864,641 
Howards End,Edward Morgan Forster,4.375,8,84,1910,166 
George's Marvelous Medicine,Roald Dahl,3.6086957,46,410,1981,99 
Elephants Can Remember,Agatha Christie,4.0,10,102,1969,99 
The Gruffalo,Julia Donaldson,4.236842,76,756,1999,99 
Nemesis,Agatha Christie,4.1,10,149,1970,99 
The Color Purple,Alice Walker,4.1707315,82,"1,446",1976,99 
American notes: for General Circulation,Charles DickensandDiana C. Archibald,,,91,1800,181 
Cards on the Table,Agatha Christie,4.1666665,12,104,1936,98 
"A journal of the plague year: being observations or memorials of the most remarkable occurrences, as well publick as private, which happened in London during the last Great Visitation in 1665",Daniel DefoeandDaniel Dafoe,3.3333333,3,88,1722,293 
"Un, Deux, Trois...",Agatha Christie,3.7777777,9,72,1940,98 
Shirley,Charlotte Brontë,4.125,8,83,1800,536 
Alias Grace B S/Wx12,Margaret Atwood,3.95,20,209,1996,80 
A child's garden of verses,Robert Louis Stevenson,4.3333335,3,88,1885,115 
Tarzan of the Apes,Edgar Rice Burroughs,4.4,5,71,1912,226 
"I, Robot",Isaac Asimov,4.253012,166,"1,175",1950,97 
Watership Down (Puffin Books),Richard Adams,4.105263,95,460,1972,97 
Fanny Hill,John Cleland,3.4,5,89,1749,283 
"Prototractatus: an early version of Tractatus logico-philosophicus.  Edited by B.F. McGuinness, T. Nyberg [and] G.H. von Wright, with a translation by D.F. Pears [and] B.F. McGuinness.  An historical introd. by G.H. von Wright and a facsim. of the author's manuscript.",Ludwig Wittgenstein,4.428571,7,73,1921,98 
Lord Jim (Barnes & Noble Classics Series) (B&N Classics),Joseph Conrad,3.75,12,75,1900,345 
Our mutual friend.,"Charles Dickens,Margeret Tarner, andAdam Leverton",2.6666667,3,85,1800,318 
Legends of the Alhambra,Washington Irving,4.0,5,87,1800,459 
A treatise on self-knowledge,John Mason,3.8,5,118,1745,96 
Danny the champion of the world,Roald Dahl,4.2285714,35,269,1975,96 
The Mammoth Hunters,Jean M. Auel,4.0,20,145,1611,95 
The Pillars of the Earth,Ken Follett,4.196721,61,580,1989,95 
The Innocents Abroad,Mark Twain,3.5,6,80,1800,177 
Ordeal by Innocence,Agatha Christie,4.0,2,90,1958,94 
The Gunslinger,Stephen King,4.0384617,52,847,1976,94 
Amerika: Roman,Franz KafkaandRitchie Robertson,4.0,15,102,1927,94 
The Firm,John Grisham,4.0666666,15,261,1991,94 
Sons and lovers,D. H. Lawrence,4.0,4,80,1913,332 
El ruido y la furia,William Faulkner,3.8,5,193,1929,93 
Artemis Fowl,Eoin Colfer,3.7818182,55,299,1999,93 
La sombra del viento,Carlos Ruiz Zafón,4.214286,42,597,2001,93 
Hallowe'en Party,Agatha Christie,3.6363637,11,167,1969,93 
"Guide for the perplexed: a 15th century Spanish translation by Pedro de Toledo (Ms. 10289, B.N. Madrid)",Moses Maimonides,3.6,5,83,1473,116 
Eclipse B Film Tie-In,Stephenie MeyerandStephenie Meyer,3.4807692,104,623,2006,87 
They Came To Baghdad,Agatha Christie,4.6666665,3,86,1951,92 
The Yiddish Colour of Magic: A Novel of Discworld,Terry Pratchett,3.9855072,138,508,1983,92 
Jude the Obscure,Thomas Hardy,4.0,9,71,1895,425 
Chronik eines angekündigten Todes: Roman,Gabriel García Márquez,4.15,40,346,1980,92 
Deception Point,Dan Brown,3.2727273,99,304,2001,92 
Cincuenta sombras liberadas,E. L. James,3.3783784,37,538,2011,92 
The ancient mariner,Samuel Taylor Coleridge,3.7391305,23,64,1827,156 
The old curiosity shop,Charles DickensandBernardo Moreno Carrillo,3.75,4,78,1800,825 
Aesop's fables: a new version chiefly from original sources,Aesop,4.2,5,127,1848,91 
The Clocks,Agatha Christie,3.625,8,102,1963,91 
Hong lou meng,"Tsʻao, Hsüeh-chʻin.,(qing) Cao, xue qin, andCao xue qin",,,83,1900,152 
Van Gogh,Federico Zeri,5.0,4,150,1937,91 
"Doctor Faustus: a two-text edition (A-text, 1604; B-text, 1616) contexts and sources criticism",Christopher Marlowe,3.9285715,14,117,1662,89 
The Second Sex,Simone de Beauvoir,4.0,16,564,1949,90 
Little House on the Prairie,Laura Ingalls WilderandGarth Williams,4.4666667,15,346,1935,90 
Poirot Loses a Client,Agatha Christie,4.0,7,69,1937,90 
The Restaurant at the End of the Universe,Douglas Adams,4.2727275,33,222,1980,90 
Murder is Easy,Agatha Christie,4.0,6,114,1939,90 
Pet Sematary,Stephen King,4.0595236,168,"2,060",1925,90 
R.U.R. (Rossum's Universal Robots),Karel ČapekandJosef Čapek,3.75,8,70,1920,147 
The blind assassin,Margaret Atwood,3.6666667,9,227,2000,89 
I Capture the Castle B Pbp,Dodie Smith,4.571429,7,135,1948,78 
Third Girl,Agatha Christie,4.0,5,87,1966,89 
Works of Washington Irving,Washington Irving,4.0,2,99,1800,89 
New Moon,Stephenie Meyer,4.0,66,707,2006,88 
"A wonder book, for girls and boys",Nathaniel Hawthorne,3.857143,7,75,1851,110 
Screwtape Letter Prop Tst,C.S. Lewis,4.107143,28,481,1942,88 
Brideshead revisited: the sacred and profane memories of Captain Charles Ryder,Evelyn Waugh,4.071429,14,107,1945,88 
Coloring Book: Dachshund Dog B 69 Pages - 8 X 10 Inches,Donald Nguyen,5.0,1,80,2019,2735 
"Der Weg zum Glück, oder, Leben und Meynungen des Dr. Benjamin Franklin",Benjamin Franklin,3.0,1,132,1758,87 
"Diary of Samuel Pepys: ... for the First Time Fully Transcribed from Teh Shorthand Manuscript... by the Rev. Mynors Bright... Ed. , with Additions by Henry B. Wheatley",Samuel Pepys,4.0,1,79,1825,166 
The thirteen problems,Agatha Christie,3.7777777,9,123,1932,87 
Bridget Jones's Diary,Helen FieldingandHelen Fielding,3.5714285,49,273,1996,87 
Roughing it,Mark Twain,3.6666667,3,78,1872,408 
A tree grows in Brooklyn: a novel,Betty Smith,4.3333335,24,247,1943,87 
Buddenbrooks: Verfall einer Familie,Thomas Mann,3.75,4,95,1909,87 
"La Nostalgie de LAnge
            
                Litterature Generale","Alice Sebold,Dunow and Carlson Lit. Agency, andMaria Roura Mir",3.3676472,68,500,2000,87 
A Game of Thrones,George R. R. Martin,4.217765,698,"10,282",1996,87 
Dead Man's Folly: B1,Agatha Christie,4.0,8,61,1956,94 
"William Blake.: XVII designs to Thornton's Virgil, reproduced from the original woodcuts, MDCCCXXI.",William Blake,4.25,4,74,1783,141 
Edvard Munch: The Complete Graphic Works,"Edvard Munch,Christoph Asendorf,Marian Bisanz-Prakken,Albrecht Schröder,Albertina Wien,Dieter Buchhart,Antonia Hoerschelmann,Frank Hoifodt,Iris Müller-Westermann, and4 others",,,93,1927,88 
Odyssey,Όμηρος,,,75,1946,118 
Blood Will Tell,Agatha Christie,4.285714,7,64,1951,86 
El Coronel No Tiene Quien Le Escriba / No One Writes to the Colonel,Gabriel García MárquezandLuisa Rivera,3.8666666,15,110,1961,86 
"The great awakening, the Egyptian book of the dead: the Papyrus of Ani should be titled Book of coming forth today from night = Reu m pert m hru en kher","E. A. Wallis Budge,David Lorimer,Foy Scalf, andPaul Mirecki",3.6,5,111,1894,85 
Lettres à un jeune poète,Rainer Maria Rilke,4.15,20,116,1929,85 
"Cat in the Hat, the (Dr.Seuss Classic Collection)",Dr. SeussandSimon Mugford,4.107843,102,"1,068",1957,85 
Exercitia spiritvalia B.P. Ignatii Loyolæ.,"Saint Ignatius of Loyola,Aloysio R.P Bellecio,Ignatius., andWilliam, S.J. Reiser",5.0,1,78,1548,145 
Kokoro,"夏目漱石,Yoko Ogihara,Fernando Cordobés,Carlos Rubio lópez de la Llave,Nagi Yoshizaki, andMakiko Itoh",4.357143,14,93,1914,84 
The woodlanders,Thomas Hardy,3.8,5,75,1800,392 
The Murder at Hazelmoor,Agatha Christie,3.857143,7,99,1931,84 
Briefe an Milena,Franz Kafka,5.0,1,366,1952,84 
Hansel and Gretel,Brothers Grimm,4.285714,7,140,1900,84 
Stuart Little,E. B. White,3.4615386,26,272,1945,62 
Black Beauty: his groom and companions,Anna SewellandMrs. J. C. Gorham,4.6666665,6,83,1877,85 
The life and death of the mayor of Casterbridge: a story of a man of character.,Thomas Hardy,3.5454545,11,59,1800,150 
The Megha dūta or cloud messenger: a poem in the Sanskrit language,Kālidāsa,3.3636363,11,67,1813,114 
Cinquante nuances plus sombres: roman,E. L. James,3.4166667,36,694,2011,83 
The Crucible: A Play in Four Acts,Arthur Miller,3.445946,74,518,1953,83 
Gitanjali,"Rabindranath Tagore,Marie Luise Gothein, andWilliam Butler Yeats",4.0,5,70,1910,216 
El jurado,John Grisham,3.5833333,24,127,1996,82 
The rebel,Albert Camus,4.3333335,6,168,1951,82 
Like Water for Chocolate,"Laura EsquivelandEsquivel, Laura. Christensen, Carol, Tra...",3.7777777,18,380,1989,82 
Babbitt,Sinclair Lewis,4.0,7,69,1922,232 
Rights of Man,"Thomas Paine,T. Paine, andThomas Thomas Paine",4.6666665,3,71,1791,276 
Holes,Louis Sachar,4.222826,184,"1,565",1988,82 
The Blithedale romance,Nathaniel Hawthorne,4.3333335,3,73,1852,103 
Death comes for the archbishop,Willa CatherandWilla Cather,3.5,4,69,1926,256 
Democracy in America (Signet Classics),"Alexis de Tocqueville,Gustave de Beaumont,Eduardo Nolla,Henry Reeve,John Canfield Spencer, andJ. P. Mayer",4.5,2,74,1835,421 
The hunting of the Snark  :bfFit the First,Lewis Carroll,4.8,5,68,1876,255 
A Pocket Full of Rye,Agatha Christie,4.6,10,49,1953,96 
Fables of La Fontaine,Jean de La Fontaine,3.25,4,74,1678,345 
Äschylos Orestie,Aeschylus,4.4,5,68,1845,133 
The Seven Dials Mystery,Agatha Christie,4.111111,9,86,1929,81 
La insoportable levedad del ser,Milan KunderaandMilan Kundera,4.189873,79,311,1984,81 
Yerusholayim un Roym: hisṭorisher roman oys der tsayṭ fun beys-sheni,Lew Wallace,3.5714285,7,71,1800,201 
Nicholas Nickleby: illustrated,Charles Dickens,3.0,1,69,1800,392 
O pioneers!,Willa Cather,3.8181818,11,64,1913,141 
Tenant of Wildfell Hall,Anne Brontë,3.5714285,14,59,1847,558 
Captains Courageous: A Story of the Grand Banks,Rudyard Kipling,4.5,2,66,1896,990 
Bajo la misma estrella,John Green,4.255435,184,"3,153",2010,77 
Petronius the Satyricon,Petronius Arbiter,3.7777777,9,65,1575,309 
La  Médée d'Euripide: théâtre,Euripides,3.7142856,7,60,1703,156 
Inferno,Dan Brown,3.7096775,62,452,1962,80 
Le mythe de Sisyphe,"Albert Camus,Esther Benitez,Jorge Sanchez, andMario Prassinos",4.2608695,23,324,1941,80 
Mutual aid: a factor of evolution,Peter Kropotkin,4.25,4,69,1902,122 
Endless Night,Agatha Christie,4.0,7,190,1967,80 
